,pi_eq,mu_bl,delta
RELIANCE,0.061602226240394437,0.06497133394706955,0.0033691077066751174
HDFCBANK,0.08005925700339304,0.08733537578688996,0.007276118783496918
ICICIBANK,0.038748123151423064,0.028167288182712913,-0.010580834968710151
INFY,0.05295620662644161,0.059157251519465125,0.006201044893023512
TCS,0.035619860551832014,0.03956062301293749,0.003940762461105474
AXISBANK,0.050430340307352,0.056179676359314486,0.005749336051962484
BAJFINANCE,0.05387310732272532,0.06071003532960549,0.006836928006880169
DRREDDY,0.03156009464734019,0.04107197766504568,0.009511883017705489
HINDUNILVR,0.05096866837323685,0.056987313285757575,0.006018644912520722
ITC,0.033033427811538583,0.02693079634128928,-0.006102631470249302
MARUTI,0.05000114545836963,0.05577035401032086,0.005769208551951233
ONGC,0.034701789773850585,0.05780466119751237,0.023102871423661783
SUNPHARMA,0.04545944221983276,0.051284829973722766,0.005825387753890007
WIPRO,0.04665689691196012,0.05118734400603489,0.004530447094074769
